# round Hexp Hcross HSexp HScross
0 2.00767e-05 1 2.00767e-05 1
1 0.331426 16508 0.331426 16508
2 0.73298 36509 0.73298 36509
3 1.16951 58252 1.16495 58025
4 1.58644 79019 1.57176 78288
5 1.99434 99336 1.96394 97822
6 2.38087 118589 2.32914 116012
7 2.79929 139430 2.71921 135441
8 3.19498 159139 3.09281 154050
9 3.56835 177736 3.43657 171172
10 3.93975 196235 3.77902 188229
11 4.11339 204884 3.9373 196113
12 4.83951 241051 4.61652 229944
13 4.90136 244132 4.68002 233107
14 4.27001 212685 4.07057 202751
15 6.21868 309746 5.92895 295315
16 7.08677 352985 6.75932 336675
17 7.80999 389008 7.42478 369821
18 7.81371 389193 7.41685 369426
19 8.2714 411990 7.81078 389047
20 7.3988 368527 7.00857 349090
21 9.4774 472060 8.89851 443226
22 8.85653 441135 8.33452 415134
23 8.8859 442598 8.3413 415472
24 10.4734 521671 9.79865 488061
25 9.49997 473184 8.90313 443456
26 10.7306 534481 10.0445 500305
27 11.5874 577156 10.831 539480
28 11.1165 553703 10.4173 518877
29 12.9778 646412 12.0866 602022
30 9.81889 489069 9.20854 458668
31 12.3014 612718 11.4942 572515
32 13.955 695083 12.9833 646686
33 14.4966 722062 13.4743 671143
34 12.5922 627205 11.749 585206
35 13.4099 667932 12.4844 621834
36 15.8309 788519 14.6974 732063
37 15.8677 790352 14.694 731891
38 12.8965 642363 12.0577 600581
39 15.0434 749296 14.0371 699174
40 14.6381 729111 13.7235 683554
41 16.8289 838230 15.704 782199
42 15.6922 781615 14.6345 728929
43 18.1035 901718 16.8295 838262
44 19.01 946869 17.6679 880021
45 17.0669 850084 15.9355 793731
46 16.8951 841529 15.7677 785374
47 17.7119 882210 16.5181 822751
48 21.4076 1066289 19.7369 983077
49 20.8944 1040730 19.3637 964486
50 21.3917 1065497 19.786 985519
51 20.3713 1014674 18.8963 941206
52 20.8952 1040769 19.4049 966540
53 16.8422 838892 15.7916 786562
54 24.4508 1217869 22.5338 1122385
55 19.9823 995300 18.6295 927917
56 25.6532 1277761 23.5983 1175410
57 25.5966 1274942 23.5818 1174588
58 22.2353 1107519 20.6116 1026643
59 22.4218 1116806 20.8653 1039280
60 26.0159 1295825 24.0138 1196101
61 25.0223 1246334 23.059 1148545
62 27.2463 1357113 25.0588 1248152
63 23.5711 1174054 21.8883 1090236
64 25.8674 1288431 23.9214 1191499
65 27.5367 1371574 25.3466 1262489
66 22.1451 1103023 20.6558 1028846
67 27.2326 1356430 25.1486 1252629
68 29.2621 1457515 26.9642 1343058
69 29.6581 1477238 27.2588 1357736
70 24.8807 1239283 23.1957 1155357
71 32.0099 1594380 29.4163 1465194
72 30.5414 1521235 28.1069 1399975
73 30.8215 1535190 28.3538 1412274
74 27.1832 1353969 25.2215 1256259
75 30.471 1517730 28.1447 1401858
76 30.1072 1499609 27.7262 1381012
77 34.4973 1718278 31.5962 1573773
78 28.5526 1422175 26.534 1321632
79 33.8308 1685076 30.9539 1541783
80 34.6487 1725817 31.8398 1585910
81 32.3424 1610942 29.863 1487448
82 34.6899 1727871 31.7719 1582528
83 35.8383 1785068 32.8624 1636841
84 32.0094 1594357 29.6175 1475218
85 37.1347 1849642 33.9572 1691372
86 34.4703 1716931 31.8107 1584457
87 29.098 1449340 27.2021 1354907
88 37.746 1880089 34.5675 1721771
89 39.3226 1958620 35.9711 1791685
90 39.942 1989473 36.5079 1818420
91 37.6389 1874758 34.538 1720301
92 31.1972 1553899 28.9814 1443533
93 40.9187 2038120 37.3722 1861473
94 37.088 1847315 34.056 1696294
95 42.1995 2101914 38.5567 1920470
96 32.3017 1608917 30.0408 1496302
97 42.6495 2124328 38.9937 1942239
98 44.3942 2211231 40.501 2017312
