#round Hexp Hcross HsExp HsCross
0 0 0 0 0
1 2.00767e-05 1 2.00767e-05 1
2 0.331426 16508 0.331426 16508
3 0.73298 36509 0.73298 36509
4 1.16951 58252 1.16495 58025
5 1.58644 79019 1.57176 78288
6 1.99434 99336 1.96394 97822
7 2.38087 118589 2.32914 116012
8 2.79929 139430 2.71921 135441
9 3.19498 159139 3.09281 154050
10 3.56835 177736 3.43657 171172
11 3.93975 196235 3.77902 188229
12 4.11339 204884 3.9373 196113
13 4.83951 241051 4.61652 229944
14 4.90136 244132 4.68002 233107
15 4.27001 212685 4.07057 202751
16 6.21868 309746 5.92895 295315
17 7.08677 352985 6.75932 336675
18 7.80999 389008 7.42478 369821
19 7.81371 389193 7.41685 369426
20 8.2714 411990 7.81078 389047
21 7.3988 368527 7.00857 349090
22 9.4774 472060 8.89851 443226
23 8.85653 441135 8.33452 415134
24 8.8859 442598 8.3413 415472
25 10.4734 521671 9.79865 488061
26 9.49997 473184 8.90313 443456
27 10.7306 534481 10.0445 500305
28 11.5874 577156 10.831 539480
29 11.1165 553703 10.4173 518877
30 12.9778 646412 12.0866 602022
31 9.81889 489069 9.20854 458668
32 12.3014 612718 11.4942 572515
33 13.955 695083 12.9833 646686
34 14.4966 722062 13.4743 671143
35 12.5922 627205 11.749 585206
36 13.4099 667932 12.4844 621834
37 15.8309 788519 14.6974 732063
38 15.8677 790352 14.694 731891
39 12.8965 642363 12.0577 600581
40 15.0434 749296 14.0371 699174
41 14.6381 729111 13.7235 683554
42 16.8289 838230 15.704 782199
43 15.6922 781615 14.6345 728929
44 18.1035 901718 16.8295 838262
45 19.01 946869 17.6679 880021
46 17.0669 850084 15.9355 793731
47 16.8951 841529 15.7677 785374
48 17.7119 882210 16.5181 822751
49 21.4076 1066289 19.7369 983077
