Graph_name	vertices	edges	g_phi	h_phi	timed_out	spent_time	CASE	best_cut_conductance	diff_total	diff_div_nodes
barbell10-10	20	91	0,05	0,1	False	0,0	2	0,1	0	0,0
barbell10-10	20	91	0,05	0,55	False	0,0	2	0,1	0	0,0
barbell100-100	200	9901	0,005	0,1	False	0,19	2	0,01	0	0,0
barbell100-100	200	9901	0,005	0,55	False	0,12	2	0,01	0	0,0
barbell1000-1000	2000	999001	0,0005	0,1	False	216,22	2	0,001	0	0,0
barbell1000-1000	2000	999001	0,0005	0,55	False	220,38	2	0,001	0	0,0
complete10	10	45	0,1	0,1	False	0,0	1	0,0	10	1,0
complete10	10	45	0,1	0,55	False	0,05	1	0,0	10	1,0
complete100	100	4950	0,01	0,1	False	0,03	1	0,0	100	1,0
complete100	100	4950	0,01	0,55	True	890,74	-	-	-	-
complete1000	1000	499500	0,001	0,1	False	8,86	1	0,0	1000	1,0
complete1000	1000	499500	0,001	0,55	True	890,02	-	-	-	-
expander4	4	16	0,25	0,1	False	0,0	2	1,0	0	0,0
expander4	4	16	0,25	0,55	False	0,0	2	1,0	0	0,0
expander16	16	64	0,0625	0,1	False	0,0	1	2,6	6	0,375
expander16	16	64	0,0625	0,55	False	0,0	2	4,0	14	0,875
expander64	64	256	0,015625	0,1	False	0,01	1	3,75	56	0,875
expander64	64	256	0,015625	0,55	False	11,31	2	4,0	62	0,96875
expander256	256	1024	0,00390625	0,1	False	0,03	1	3,21739	118	0,460938
expander256	256	1024	0,00390625	0,55	True	888,11	-	-	-	-
expander1024	1024	4096	0,0009765625	0,1	False	0,03	1	4,98551	886	0,865234
expander1024	1024	4096	0,0009765625	0,55	True	889,61	-	-	-	-
144	144649	1074393	6,913286645604187e-06	0,1	False	87,26	1	8,33333	144643	0,999959
144	144649	1074393	6,913286645604187e-06	0,55	True	897,92	-	-	-	-
4elt	15606	45878	6,407791874919902e-05	0,1	False	7,3	1	0,0564284	6568	0,420864
4elt	15606	45878	6,407791874919902e-05	0,55	False	29,49	2	0,0454906	8044	0,515443
add32	4960	9462	0,00020161290322580645	0,1	False	0,31	2	0,00358423	1612	0,325
add32	4960	9462	0,00020161290322580645	0,55	False	0,33	2	0,00358423	1612	0,325
auto	448695	3314611	2,228685409910964e-06	0,1	False	598,77	1	3,24038	448279	0,999073
auto	448695	3314611	2,228685409910964e-06	0,55	True	899,31	-	-	-	-
bcsstk33	8738	291583	0,00011444266422522316	0,1	False	11,48	1	0,0	8738	1,0
bcsstk33	8738	291583	0,00011444266422522316	0,55	True	896,79	-	-	-	-
brack2	62631	366559	1,5966534144433266e-05	0,1	False	44,02	1	0,18952	21295	0,340007
brack2	62631	366559	1,5966534144433266e-05	0,55	False	242,12	2	0,0311446	11643	0,185898
fe_4elt2	11143	32818	8,974243919949744e-05	0,1	False	2,94	1	0,137376	9527	0,854976
fe_4elt2	11143	32818	8,974243919949744e-05	0,55	False	20,53	2	0,0439888	413	0,0370636
fe_sphere	16386	49152	6,102770657878677e-05	0,1	False	4,23	1	0,853322	2178	0,132918
fe_sphere	16386	49152	6,102770657878677e-05	0,55	True	897,88	-	-	-	-
fe_tooth	78136	452591	1,2798198013719669e-05	0,1	False	44,79	1	1,09694	51398	0,657802
fe_tooth	78136	452591	1,2798198013719669e-05	0,55	True	899,69	-	-	-	-
finan512	74752	261120	1,3377568493150684e-05	0,1	False	37,32	2	0,0132065	46584	0,623181
finan512	74752	261120	1,3377568493150684e-05	0,55	False	37,35	2	0,0132065	46584	0,623181
uk	4824	6837	0,00020729684908789387	0,1	False	0,28	2	0,00501505	2830	0,58665
uk	4824	6837	0,00020729684908789387	0,55	False	0,28	2	0,00501505	2830	0,58665
vibrobox	12328	165250	8,111615833874107e-05	0,1	False	2,35	1	7,0	12304	0,998053
vibrobox	12328	165250	8,111615833874107e-05	0,55	True	895,62	-	-	-	-
whitaker3	9800	28989	0,00010204081632653062	0,1	False	1,29	2	0,0415484	2050	0,209184
whitaker3	9800	28989	0,00010204081632653062	0,55	False	1,28	2	0,0415484	2050	0,209184
wing_nodal	10937	75488	9,143275121148396e-05	0,1	False	1,34	1	8,0	10927	0,999086
wing_nodal	10937	75488	9,143275121148396e-05	0,55	True	896,2	-	-	-	-

