# round Hexp Hcross HSexp HScross
0 0 0 0 0
1 0 0 0 0
2 0.323383 780 0.323383 780
3 0.710614 1714 0.710614 1714
4 1.11194 2682 1.10614 2668
5 1.54146 3718 1.51866 3663
6 2.00166 4828 1.96269 4734
7 2.30348 5556 2.24046 5404
8 2.74129 6612 2.64055 6369
9 3.29685 7952 3.15008 7598
10 3.74378 9030 3.54685 8555
11 3.86318 9318 3.65713 8821
12 4.26036 10276 3.99046 9625
13 5.20149 12546 4.87313 11754
14 5.44527 13134 5.04602 12171
15 5.1194 12348 4.78524 11542
16 6.55556 15812 6.06053 14618
17 6.86816 16566 6.32794 15263
18 6.70481 16172 6.18781 14925
19 7.27944 17558 6.6791 16110
20 5.76119 13896 5.3408 12882
21 8.67413 20922 7.91128 19082
22 9.01078 21734 8.23756 19869
23 9.66998 23324 8.80017 21226
24 9.8466 23750 8.99046 21685
25 9.65672 23292 8.78524 21190
26 9.42371 22730 8.60614 20758
27 11.2852 27220 10.2608 24749
28 12.238 29518 11.0667 26693
29 10.7471 25922 9.79643 23629
30 12.3557 29802 11.1575 26912
31 11.6153 28016 10.4892 25300
32 13.859 33428 12.3711 29839
33 14.3599 34636 12.9055 31128
34 14.1493 34128 12.7351 30717
35 12.8383 30966 11.5945 27966
36 13.8541 33416 12.4701 30078
37 16.1816 39030 14.4826 34932
38 16.7687 40446 14.9461 36050
39 16.3665 39476 14.6833 35416
40 16.1667 38994 14.4876 34944
41 16.6833 40240 14.8561 35833
42 18.6194 44910 16.4071 39574
43 15.8566 38246 14.1231 34065
44 18.6136 44896 16.5332 39878
45 15.039 36274 13.5423 32664
46 20.1343 48564 17.6895 42667
47 19.7786 47706 17.522 42263
48 20.4519 49330 18.0427 43519
49 21.2023 51140 18.6944 45091
50 22.1111 53332 19.4975 47028
51 21.296 51366 18.7214 45156
52 21.4279 51684 18.8657 45504
53 22.7114 54780 19.8553 47891
54 23.2496 56078 20.3897 49180
55 23.9826 57846 20.9913 50631
56 22.6493 54630 20.0829 48440
57 23.9345 57730 21.0203 50701
58 21.0655 50810 18.6053 44876
59 26.4038 63686 22.9631 55387
60 26.5066 63934 23.131 55792
61 25.0738 60478 21.9125 52853
62 24.1111 58156 21.2728 51310
63 27.126 65428 23.6012 56926
64 28.3234 68316 24.4573 58991
65 27.0655 65282 23.4718 56614
66 28.7653 69382 24.8719 59991
67 20.5398 49542 18.1538 43787
68 30.2844 73046 26.0261 62775
69 31.4975 75972 27.2156 65644
70 26.2015 63198 23.1393 55812
71 31.7653 76618 27.1758 65548
72 31.2297 75326 27.0224 65178
73 26.097 62946 22.7939 54979
74 30.9784 74720 26.7575 64539
75 33.0738 79774 28.3342 68342
76 31.9735 77120 27.5937 66556
77 35.961 86738 30.5991 73805
78 33.4701 80730 28.8064 69481
79 33.8275 81592 29.1737 70367
80 36.1733 87250 30.8325 74368
81 34.136 82336 29.4407 71011
82 36.1998 87314 30.8412 74389
83 32.7347 78956 28.2189 68064
84 35.359 85286 30.4818 73522
85 36.9842 89206 31.5232 76034
86 34.3905 82950 29.3922 70894
87 36.8308 88836 31.3723 75670
88 39.534 95356 33.3582 80460
89 40.4237 97502 34.0929 82232
90 38.7687 93510 32.7919 79094
91 38.4851 92826 32.5626 78541
92 41.2032 99382 34.8491 84056
93 37.9328 91494 32.3503 78029
94 41.675 100520 35.1352 84746
95 39.2073 94568 33.3607 80466
96 42.5149 102546 35.7861 86316
97 43.6857 105370 36.8603 88907
98 42.7935 103218 36.4017 87801
99 39.0282 94136 33.4179 80604
